timestamp,utc,eth_close,eth_low,price_change_1h_pct,price_change_3h_pct,price_change_6h_pct,price_change_24h_pct,oi_close_usd,oi_change_1h_usd,oi_change_1h_pct,oi_change_3h_usd,oi_change_3h_pct,oi_change_6h_usd,oi_change_6h_pct,oi_change_24h_usd,oi_change_24h_pct,short_liquidations_usd,long_liquidations_usd,short_liq_3h_usd,long_liq_3h_usd,short_liq_6h_usd,long_liq_6h_usd,short_liq_24h_usd,long_liq_24h_usd,ls_ratio,ls_change_1h,ls_change_3h,ls_change_6h,ls_change_24h,funding_rate,funding_change_1h,funding_change_3h,funding_change_6h,funding_change_24h,oi_contracts,liq_contracts,funding_contracts,ls_contracts
1787292000,2026-08-21 06:00,2371.51,2354.0,0.17530075696134473,1.3509124321552257,1.3487467680933527,4.8366562044118435,13678092806.976673,68137375.09061623,0.5006436312861151,261327474.26213074,1.9477680929912915,337443797.5088062,2.5294406386774897,584128836.8850098,4.4610542553747425,3032514.14881,870236.96484,4356926.385768432,1015751.26922,21194850.240067918,4591672.84241,85599262.37884936,29131436.331490003,2.072952765672063,-0.016219504621871828,-0.02258735387460309,0.041935522786124224,0.017339693817195023,0.006637292476221385,-0.0005531996639402794,-0.0006743863476243624,7.647048714268072e-05,-0.0017763553844481039,28.0,6.0,16.0,4.0
1787295600,2026-08-21 07:00,2371.51,2368.0,0.0,0.7815156048140481,0.5426695100287946,5.330692119440923,13733792135.634676,55699328.65800285,0.4072156070588493,208354981.40330315,1.5404676316737032,352368255.0828724,2.633264279110049,741915275.7339458,5.7106088961161445,15977464.878909998,1002944.6843500002,20232378.22017843,1931721.8717700003,21649613.23274843,4596003.157980001,101549137.86187936,29537319.274250004,2.0630822675489084,-0.009870498123154547,-0.03311207077259137,0.03577823591802076,-0.0011035545709932038,0.008073964806005385,0.0014366723297840004,0.0007581633747704508,0.0007967203110211861,-0.0013850012987416897,31.0,8.0,16.0,4.0
1787299200,2026-08-21 08:00,2444.89,2369.96,3.0942311017031194,3.274956069207883,4.271707190166878,7.141792876174441,14029027341.50348,295235205.86880493,2.149699099513576,419071909.617424,3.079157104626531,663559676.6703701,4.964732198756591,959161271.1224384,7.338723028662793,53679640.5875074,328346.78759,72689619.6152274,2201528.43678,74458546.67496583,2783081.5533600003,148259256.05598676,29201943.367160004,2.121804776030697,0.058722508481788616,0.03263250573676224,0.0029134698677535376,0.047733664149119726,0.009138035162022533,0.0010640703560171483,0.0019475430218608694,0.0018294719418177358,0.00038409686462740657,31.0,13.0,16.0,4.0
1787302800,2026-08-21 09:00,2403.77,2375.04,-1.6818752581915706,1.3603147361807355,2.7296038292234663,5.50717640345871,13818679170.529533,-210348170.97394753,-1.4993781525512706,140586363.55286026,1.0278213895518573,401913837.814991,2.9956090596217795,825345878.3983002,6.352071942140743,1890875.2042300003,17614314.760580003,71547980.6706474,18945606.232520003,75904907.05641583,19961357.501740005,146665725.22359517,45838082.654640004,2.252385756962546,0.13058098093184878,0.17943299129048285,0.15684563741587976,0.07470552555652121,0.008828810492687621,-0.00030922466933491245,0.0021915180164662363,0.001517131668841874,0.00021544386564854336,31.0,6.0,16.0,4.0
1787306400,2026-08-21 10:00,2394.73,2390.11,-0.3760759140849567,0.9791230060172548,1.768290609913652,4.740764715659083,13789581169.997784,-29098000.531749725,-0.2105700564624563,55789034.36310768,0.40621726186137236,264144015.76641083,1.9529425389683213,739684751.1382027,5.668127373556909,556200.1086800001,491150.76017074403,56126715.900417395,18433812.308340747,76359094.12059583,20365534.18011075,146425138.55525395,46288592.33497075,2.2242784962623885,-0.028107260700157344,0.16119622871348005,0.12808415794088868,0.013662781780044764,0.00877914813283201,-4.966235985561125e-05,0.0007051833268266246,0.0014633467015970755,0.0010992459604316999,28.0,6.0,16.0,4.0
1787310000,2026-08-21 11:00,2370.42,2356.0,-1.015145757559305,-3.045944807332837,0.12925790754257677,3.2592786199686428,13668635338.105206,-120945831.89257812,-0.8770812572300741,-360392003.3982754,-2.568902281144549,58679906.219148636,0.43115428638120695,577018210.2454376,4.407539608055809,509524.6493300001,7703799.511290001,2956599.9622400003,25809265.03204075,75646219.5774674,28010793.468820747,139532605.82598397,51844335.661260754,2.1959660790787643,-0.028312417183624206,0.07416130304806723,0.10679380878482947,0.012564053172035905,0.008577645415171545,-0.00020150271766046501,-0.0005603897468509887,0.0013871532750098807,0.0018366717201194578,29.0,6.0,16.0,4.0
1787313600,2026-08-21 12:00,2387.75,2365.0,0.731094067717954,-0.6664531132346265,0.684795763037043,4.288141441406021,13811393727.974487,142758389.86928177,1.0444231361656287,-7285442.555046082,-0.05272169984656285,133300920.99781418,0.9745578047973359,737296268.984911,5.639366474799802,2347418.4451,52394.646349999995,3413143.20311,8247344.917810745,74961123.87375739,27192951.15033075,141016005.55132398,48295600.68324075,2.1163428776858546,-0.07962320139290968,-0.13604287927669123,0.043390112013791615,-0.07515926074075052,0.008490063966514506,-8.758144865703837e-05,-0.00033874652617311464,0.0018527714902931217,0.0013977537100507828,30.0,6.0,16.0,4.0
1787317200,2026-08-21 13:00,2386.98,2367.13,-0.03224793215370042,-0.3236272982757973,0.6523269984102871,4.874716062617796,13865739043.050936,54345315.07644844,0.3934817596747961,76157873.05315208,0.5522856141479482,131946907.41625977,0.9607463555087667,899923080.2245541,6.940736185093764,1324298.8773799997,2276136.00988,4181241.97181,10032330.16752,60307957.8722274,28466142.47586075,141588639.25304398,41204729.54720075,2.154539018825487,0.038196141139632545,-0.06973947743690134,0.09145675127657871,-0.03391400956683421,0.008656941880490354,0.00016687791397584743,-0.00012220625234165595,0.0005829770744849687,0.001217169704198026,30.0,6.0,16.0,4.0
1787320800,2026-08-21 14:00,2393.14,2368.44,0.2580666783969642,0.9584799318264189,-2.116659645219212,4.956756661930074,13815921574.316298,-49817468.734638214,-0.3592846265169337,147286236.211092,1.0775489474102051,-213105767.18718338,-1.5190345132248133,795084717.1778584,6.106248975402587,484609.79974000005,1305415.1683200002,4156327.12222,3633945.82455,7112927.0844600005,29443210.856590748,141700135.60818398,42289650.255530745,2.1684621776662385,0.013923158840751348,-0.02750390141252579,0.04665740163554144,-0.018560228784400667,0.008317983575125238,-0.00033895830536511545,-0.0002596618400463064,-0.0008200515868972951,0.0009859308150396758,30.0,4.0,16.0,4.0
1787324400,2026-08-21 15:00,2393.03,2390.58,-0.004596471581256115,0.2211286776253879,-0.44679815456552757,2.920709468758615,13891226743.365692,75305169.04939461,0.545060773863876,79833015.39120483,0.578022877079421,72547572.83615875,0.5249964337465599,562330953.4313221,4.218886262551318,1466769.6165399998,273944.63231,3275678.2936599995,3855495.81051,6688821.49677,12102840.728320744,127649131.63220531,41663982.155350745,2.150567660442464,-0.017894517223774553,0.03422478275660934,-0.10181809652008189,0.027928632012081067,0.008311771899495467,-6.2116756297716375e-06,-0.00017829206701903966,-0.0005170385931921543,0.0011429403901682495,30.0,4.0,16.0,4.0
